,name,location,edition,restaurant_url,address
70,Pasta Evangelists,Cambridge,cambridge-south,https://deliveroo.co.uk/menu/Cambridge/cambridge-south/pasta-evangelists-editions-cam?day=today&geohash=u120gk5v2x5v&time=ASAP,"230 Mill Rd, Cambridge, Cambridge, CB13NF"
71,Dishoom,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/dishoom-editions-cam?day=today&geohash=u120gk5v2x5v&time=ASAP,"Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
72,Burger King ,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/burger-king-editions-cam?day=today&geohash=u120gk5v2x5v&time=ASAP,"Deliveroo Editions, Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
73,Nomi Katsu 🇯🇵,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/nomi-katsu-editions-cam-new?day=today&geohash=u120gk5v2x5v&time=ASAP,"Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
74,Poke Fuzion,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/poke-fuzion-editions-cam?day=today&geohash=u120gk5v2x5v&time=ASAP,"Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
75,Zumuku,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/zumu-editions-cam?day=today&geohash=u120gk5v2x5v&time=ASAP,"Unit 3-4 Restwell House, Cambridge, CB13EW"
76,Ice Cream Store,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/ics-editions-cambridge-new?day=today&geohash=u120gk5v2x5v&time=ASAP,"Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
77,Ben & Jerry's Store ,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/ben-and-jerrys-store-editions-cam?day=today&geohash=u120gk5v2x5v&time=ASAP,"Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
78,Trip CBD Store,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/trip-cbd-store-editions-cam?day=today&geohash=u120gk5v2x5v&time=ASAP,"Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
79,Forketta,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/barilla-editions-cam?geohash=u120gk5v2x5v,"Unit 3-4 Restwell House, Coldhams Road, Cambridge, CB13EW"
80,Dishoom,Brighton,brighton-and-hove-editions,https://deliveroo.co.uk/menu/Brighton/brighton-and-hove-editions/dishoom-editions-bnc?day=today&geohash=gcpc5qr687x2&time=ASAP,"Editions, Unit 1, Saxon Works, Olive Road, Hove, Brighton, BN35LE"
81,VIP Very Italian Pizza,Brighton,brighton-and-hove-editions,https://deliveroo.co.uk/menu/Brighton/brighton-and-hove-editions/vip-italy-limited-hove?day=today&geohash=gcpc5qr687x2&time=ASAP,"1 Saxon Works, Olive Road, Brighton, BN35LE"
82,🌴 Poke Shack 🌴,Brighton,brighton-and-hove-editions,https://deliveroo.co.uk/menu/Brighton/brighton-and-hove-editions/poke-shack-editions-bnc?day=today&geohash=gcpc5qr687x2&time=ASAP,"Editions, Unit 1, Saxon Works, Olive Road, Hove, Brighton, BN35LE"
83,The Athenian | Greek Gyros & Souvlaki ,Brighton,brighton-and-hove-editions,https://deliveroo.co.uk/menu/Brighton/brighton-and-hove-editions/the-athenian-editions-bnc-new?day=today&geohash=gcpc5qr687x2&time=ASAP,"Unit 1 Saxon Works, Olive Road, Hove, Brighton, BN35LE"
84,Pokai,Brighton,brighton-centre,https://deliveroo.co.uk/menu/Brighton/brighton-centre/pokai-brighton?day=today&geohash=gcpc5qr687x2&time=ASAP,"169 North street, Brighton, BN11EA"
85,The Athenian - Vegan Greek Kitchen,Brighton,brighton-and-hove-editions,https://deliveroo.co.uk/menu/Brighton/brighton-and-hove-editions/the-athenian-plant-based-editions-bnc-new?day=today&geohash=gcpc5qr687x2&time=ASAP,"Unit 1 Saxon Works, Olive Road, Hove, Brighton, BN35LE"
86,Mindful Chef ,Brighton,brighton-and-hove-editions,https://deliveroo.co.uk/menu/Brighton/brighton-and-hove-editions/mindful-chef-editions-bnc?day=today&geohash=gcpc5qr687x2&time=ASAP,"Unit 1, Saxon Works, Olive Road, Brighton, BN35LE"
87,WING·STOP,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/wingstop-editions-chr?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1, Scott Hall Mills, Scotthall Street, Leeds, LS72HR"
88,Noodle Inn,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/noodles-inn-editions-chr?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1, Scott Halls Mills, Leeds, LS72HT"
89,The Athenian | Greek Gyros & Souvlaki,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/the-athenian-editions-chr?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1, Scott Halls Mills, Leeds, LS72HR"
90,Zumuku Sushi,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/zumu-editions-chr?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1, Scott Halls Mills, Leeds, LS72HR"
91,Proove Pizza,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/proove-ltd?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1, Scott Halls Mills, Leeds, LS72HT"
92,Luxford Burgers,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/luxford-burgers-editions-lee?day=today&geohash=gcwfhugpwsj5&time=ASAP,"Unit 1, Scott Hall Mills, Scotthall Street, Leeds, LS72HT"
