,name,location,edition,restaurant_url,address
78,Tao Tao Ju ,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/tao-tao-ju-editions-acton?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE"
79,WING·STOP,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/wingstop-editions-act?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE"
80,Yacob's Kitchen ,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/jacobs-kitchen-editions-act?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate, W3 7QE, London, W37QE"
81,Rice Bowl Company,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/rum-and-rice?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate,, London, W37QE"
82,Bronson's Burgers ,London,brent-cross-editions,https://deliveroo.co.uk/menu/London/brent-cross-editions/bronsons-burgers-editions-brc?day=today&geohash=gcpv4ezcruym&time=ASAP,"2 Phoenix Industrial Estate Apsley Way, London, NW27LN"
83,Patri Artisan Street Food and Drinks,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/patri-artisan-street-food-and-drinks?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate, London,, London, W37QE"
84,Mindful Chef,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/mindful-chef-editions-mdv?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 8, Mitre Way, White City, London, W106AU"
85,TRIP CBD Store,London,acton-editions,https://deliveroo.co.uk/menu/London/acton-editions/trip-cbd-store-editions-act?day=today&geohash=gcpv4ezcruym&time=ASAP,"Unit 33, Acton Park Industrial Estate, London, W37QE"
86,Biryaniwalla by Patri,London,hammersmith,https://deliveroo.co.uk/menu/London/hammersmith/biryaniwalla-ealing?day=today&geohash=gcpv4ezcruym&time=ASAP,"103 Hammersmith Grove, London, London, W60NQ"
87,Bleecker Burger,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/bleecker-editions-mv?day=today&geohash=gcpv4ezcruym&time=1615,"Deliveroo Editions, Unit 8 Mitre Way, Mitre Bridge Industrial Estate, London Borough of Hammersmith and Fulham,, London, W106AU"
88,Tao Tao Ju 陶陶居 ,London,brent-cross-editions,https://deliveroo.co.uk/menu/London/brent-cross-editions/tao-tao-ju-editions-brc?day=today&geohash=gcpv4ezcruym&time=1745,"Phoenix Park, Aspley Way, Unit 2, London, NW27LN"
89,YUN Bento,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/yun-bento-editions-mdv?geohash=gcpv4ezcruym,"Unit 8, Mitre Way, White City, London, W106AU"
90,Tao Village Dim Sum,London,maida-vale-editions,https://deliveroo.co.uk/menu/London/maida-vale-editions/tao-village-dim-sum-editions-mdv?geohash=gcpv4ezcruym,"8 Mitre Way, London, W106AU"
91,Dishoom,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/dishoom-editions-isl?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"149 Roman Way, London, N78XH"
92,Bronson's Burgers,London,kentish-town,https://deliveroo.co.uk/menu/London/kentish-town/bronsons-burgers-kentish-town?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"Regis Rd, London NW5 3EG, United Kingdom, London, NW53EW"
93,Poke Shack,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/poke-shack-editions-cre?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"Unit 21, Cranford Way, London, N89DG"
94,Tao Tao Ju 陶陶居 ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/tao-tao-ju-editions-whi?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"10 Assembly Passage, London, E14UT"
95,Maroush,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/maroush-editions-cre?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"21 Cranford Way, London, N89DG"
96,Ben & Jerry's Store,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/ben-and-jerrys-store-editions-isl?day=today&geohash=gcpvjrhmqd3y&time=ASAP,"Unit 4, 149 Roman Way, Islington, London, N78XH"
